czujnik1,25.77, czujnik2,23.83, czujnik3,24.85
czujnik1,0.00, czujnik2,28.30, czujnik3,37.41
czujnik1,27.35, czujnik2,38.54, czujnik3,37.31
czujnik1,27.21, czujnik2,39.15, czujnik3,37.43
czujnik1,39.37, czujnik2,25.51, czujnik3,37.86
czujnik1,41.60, czujnik2,39.15, czujnik3,37.86
czujnik1,27.52, czujnik2,38.98, czujnik3,37.72
czujnik1,27.30, czujnik2,39.59, czujnik3,37.79
czujnik1,26.92, czujnik2,39.10, czujnik3,37.43
czujnik1,28.06, czujnik2,39.56, czujnik3,37.84
czujnik1,28.01, czujnik2,39.00, czujnik3,37.84
czujnik1,27.76, czujnik2,24.71, czujnik3,37.31
czujnik1,27.74, czujnik2,39.15, czujnik3,37.86
czujnik1,27.24, czujnik2,40.48, czujnik3,37.89
czujnik1,27.64, czujnik2,39.90, czujnik3,37.86
czujnik1,27.74, czujnik2,25.17, czujnik3,37.74
czujnik1,26.53, czujnik2,40.02, czujnik3,37.87
czujnik1,25.61, czujnik2,24.86, czujnik3,37.87
czujnik1,25.61, czujnik2,24.35, czujnik3,38.25
czujnik1,25.32, czujnik2,24.05, czujnik3,37.72
czujnik1,25.27, czujnik2,24.46, czujnik3,38.25
czujnik1,25.60, czujnik2,25.27, czujnik3,38.25
czujnik1,25.97, czujnik2,24.76, czujnik3,37.82
czujnik1,26.55, czujnik2,24.29, czujnik3,38.15
czujnik1,26.07, czujnik2,24.86, czujnik3,37.84
czujnik1,25.97, czujnik2,25.68, czujnik3,37.82
czujnik1,26.84, czujnik2,24.30, czujnik3,37.82
czujnik1,25.73, czujnik2,25.58, czujnik3,37.70
czujnik1,25.71, czujnik2,24.44, czujnik3,37.79
czujnik1,26.04, czujnik2,24.46, czujnik3,37.86
czujnik1,25.15, czujnik2,23.93, czujnik3,37.89
czujnik1,26.55, czujnik2,24.34, czujnik3,38.15
czujnik1,25.66, czujnik2,24.05, czujnik3,37.82
czujnik1,26.07, czujnik2,23.67, czujnik3,37.82
czujnik1,24.74, czujnik2,23.98, czujnik3,27.60
czujnik1,25.31, czujnik2,24.08, czujnik3,25.36
czujnik1,25.32, czujnik2,23.67, czujnik3,37.84
czujnik1,25.20, czujnik2,24.08, czujnik3,25.87
czujnik1,26.07, czujnik2,23.54, czujnik3,25.83
czujnik1,25.32, czujnik2,24.05, czujnik3,26.60
czujnik1,24.91, czujnik2,24.10, czujnik3,26.24
czujnik1,23.98, czujnik2,23.67, czujnik3,25.07
czujnik1,24.08, czujnik2,23.59, czujnik3,25.05
czujnik1,24.54, czujnik2,23.69, czujnik3,25.43
czujnik1,23.67, czujnik2,23.28, czujnik3,24.18
czujnik1,24.44, czujnik2,23.67, czujnik3,25.92
czujnik1,24.83, czujnik2,24.00, czujnik3,26.80
czujnik1,24.52, czujnik2,23.69, czujnik3,26.22
czujnik1,24.54, czujnik2,23.27, czujnik3,25.36
czujnik1,24.85, czujnik2,23.69, czujnik3,26.80
czujnik1,24.85, czujnik2,24.00, czujnik3,37.84
czujnik1,24.49, czujnik2,23.28, czujnik3,37.72
czujnik1,24.54, czujnik2,23.28, czujnik3,37.87
czujnik1,23.96, czujnik2,23.69, czujnik3,25.56
czujnik1,24.46, czujnik2,23.21, czujnik3,26.39
czujnik1,24.13, czujnik2,23.69, czujnik3,24.49
czujnik1,24.95, czujnik2,23.74, czujnik3,27.98
czujnik1,23.98, czujnik2,23.28, czujnik3,25.51
czujnik1,24.10, czujnik2,23.18, czujnik3,25.58
czujnik1,23.64, czujnik2,23.30, czujnik3,26.28
czujnik1,24.08, czujnik2,23.28, czujnik3,25.83
czujnik1,24.44, czujnik2,23.69, czujnik3,26.39
czujnik1,24.47, czujnik2,23.23, czujnik3,24.74
czujnik1,24.56, czujnik2,23.33, czujnik3,24.59
czujnik1,24.15, czujnik2,24.15, czujnik3,25.00
czujnik1,23.18, czujnik2,23.76, czujnik3,25.15
czujnik1,24.13, czujnik2,23.25, czujnik3,24.39
czujnik1,25.02, czujnik2,23.37, czujnik3,25.51
czujnik1,23.28, czujnik2,23.33, czujnik3,24.27
czujnik1,24.91, czujnik2,23.40, czujnik3,25.10
czujnik1,23.72, czujnik2,23.28, czujnik3,24.74
czujnik1,24.59, czujnik2,23.33, czujnik3,25.87
czujnik1,25.05, czujnik2,23.35, czujnik3,25.88
czujnik1,23.64, czujnik2,23.33, czujnik3,25.97
czujnik1,23.67, czujnik2,22.82, czujnik3,25.12
czujnik1,25.02, czujnik2,23.33, czujnik3,37.69
czujnik1,24.54, czujnik2,23.28, czujnik3,25.36
czujnik1,24.05, czujnik2,23.28, czujnik3,25.05
czujnik1,24.49, czujnik2,24.05, czujnik3,25.07
czujnik1,24.59, czujnik2,23.76, czujnik3,26.26
czujnik1,24.61, czujnik2,22.98, czujnik3,24.64
czujnik1,23.64, czujnik2,23.40, czujnik3,27.24
czujnik1,24.51, czujnik2,23.27, czujnik3,28.13
czujnik1,23.76, czujnik2,23.83, czujnik3,24.23
czujnik1,24.18, czujnik2,23.42, czujnik3,24.69
czujnik1,24.10, czujnik2,23.83, czujnik3,24.39
czujnik1,25.83, czujnik2,23.71, czujnik3,24.32
czujnik1,25.07, czujnik2,24.25, czujnik3,27.60
czujnik1,25.07, czujnik2,23.79, czujnik3,24.29
czujnik1,24.51, czujnik2,23.89, czujnik3,24.39
czujnik1,24.20, czujnik2,23.74, czujnik3,25.15
czujnik1,25.94, czujnik2,23.44, czujnik3,26.38
czujnik1,25.92, czujnik2,23.89, czujnik3,27.21
czujnik1,25.85, czujnik2,24.71, czujnik3,27.31
czujnik1,27.14, czujnik2,24.61, czujnik3,27.36
czujnik1,27.67, czujnik2,24.23, czujnik3,29.30
czujnik1,27.26, czujnik2,25.58, czujnik3,30.58
czujnik1,27.57, czujnik2,27.26, czujnik3,30.53
czujnik1,27.98, czujnik2,39.83, czujnik3,31.90
czujnik1,26.85, czujnik2,27.13, czujnik3,31.36
