czujnik1,40.63, czujnik2,43.47, czujnik3,39.51
czujnik1,41.80, czujnik2,41.33, czujnik3,39.61
czujnik1,20.51, czujnik2,2291.63, czujnik3,39.95
czujnik1,44.90, czujnik2,42.62, czujnik3,39.97
czujnik1,19.34, czujnik2,236.28, czujnik3,39.49
czujnik1,41.24, czujnik2,46.97, czujnik3,40.00
czujnik1,20.17, czujnik2,41.55, czujnik3,39.39
czujnik1,41.12, czujnik2,216.55, czujnik3,39.59
czujnik1,19.74, czujnik2,46.51, czujnik3,39.91
czujnik1,19.74, czujnik2,41.58, czujnik3,39.51
czujnik1,43.61, czujnik2,42.67, czujnik3,39.63
czujnik1,20.92, czujnik2,53.42, czujnik3,39.61
czujnik1,21.04, czujnik2,41.68, czujnik3,39.61
czujnik1,19.74, czujnik2,43.16, czujnik3,39.52
czujnik1,20.61, czujnik2,43.44, czujnik3,39.64
czujnik1,42.48, czujnik2,51.31, czujnik3,40.02
czujnik1,45.41, czujnik2,42.11, czujnik3,40.03
czujnik1,20.61, czujnik2,41.63, czujnik3,39.51
czujnik1,21.45, czujnik2,0.00, czujnik3,40.43
czujnik1,19.74, czujnik2,42.21, czujnik3,39.61
czujnik1,43.16, czujnik2,0.00, czujnik3,39.93
czujnik1,40.51, czujnik2,41.21, czujnik3,39.63
czujnik1,41.02, czujnik2,41.19, czujnik3,39.86
czujnik1,40.87, czujnik2,41.60, czujnik3,39.51
czujnik1,42.40, czujnik2,41.94, czujnik3,39.59
czujnik1,21.04, czujnik2,46.12, czujnik3,39.63
czujnik1,20.61, czujnik2,53.28, czujnik3,39.61
czujnik1,42.16, czujnik2,485.49, czujnik3,39.61
czujnik1,21.02, czujnik2,41.17, czujnik3,39.49
czujnik1,42.04, czujnik2,55.39, czujnik3,39.73
czujnik1,21.02, czujnik2,51.72, czujnik3,39.98
czujnik1,41.72, czujnik2,41.77, czujnik3,39.52
czujnik1,41.38, czujnik2,669.81, czujnik3,40.03
czujnik1,41.72, czujnik2,42.07, czujnik3,39.47
czujnik1,20.54, czujnik2,40.92, czujnik3,39.61
czujnik1,19.74, czujnik2,44.74, czujnik3,39.86
czujnik1,42.65, czujnik2,42.16, czujnik3,40.02
czujnik1,21.33, czujnik2,46.94, czujnik3,39.61
czujnik1,19.74, czujnik2,41.90, czujnik3,39.59
czujnik1,20.17, czujnik2,41.73, czujnik3,39.93
czujnik1,45.05, czujnik2,40.90, czujnik3,40.03
czujnik1,19.74, czujnik2,41.79, czujnik3,39.63
czujnik1,43.69, czujnik2,41.28, czujnik3,39.63
czujnik1,19.74, czujnik2,41.79, czujnik3,39.52
czujnik1,41.63, czujnik2,50.88, czujnik3,39.61
czujnik1,20.15, czujnik2,45.66, czujnik3,40.02
czujnik1,40.61, czujnik2,53.83, czujnik3,39.61
czujnik1,21.02, czujnik2,53.81, czujnik3,39.52
czujnik1,41.84, czujnik2,43.96, czujnik3,40.02
czujnik1,20.51, czujnik2,42.13, czujnik3,39.61
czujnik1,42.06, czujnik2,48.93, czujnik3,39.61
czujnik1,21.02, czujnik2,42.48, czujnik3,39.86
czujnik1,42.33, czujnik2,41.75, czujnik3,40.02
czujnik1,19.74, czujnik2,52.55, czujnik3,40.02
czujnik1,41.75, czujnik2,47.65, czujnik3,40.02
czujnik1,42.62, czujnik2,0.00, czujnik3,39.59
czujnik1,41.17, czujnik2,218.89, czujnik3,40.02
czujnik1,43.42, czujnik2,45.02, czujnik3,39.57
czujnik1,42.57, czujnik2,41.68, czujnik3,39.97
czujnik1,19.74, czujnik2,43.69, czujnik3,39.49
czujnik1,19.61, czujnik2,42.33, czujnik3,39.91
czujnik1,19.64, czujnik2,41.21, czujnik3,39.47
czujnik1,41.16, czujnik2,435.92, czujnik3,39.44
czujnik1,19.74, czujnik2,45.99, czujnik3,39.93
czujnik1,21.02, czujnik2,0.00, czujnik3,39.63
czujnik1,42.91, czujnik2,44.80, czujnik3,39.98
czujnik1,45.26, czujnik2,53.40, czujnik3,39.47
czujnik1,19.34, czujnik2,42.91, czujnik3,39.49
czujnik1,44.20, czujnik2,214.52, czujnik3,39.49
czujnik1,41.05, czujnik2,41.58, czujnik3,40.03
czujnik1,42.07, czujnik2,43.15, czujnik3,39.63
czujnik1,20.61, czujnik2,238.74, czujnik3,39.61
czujnik1,41.48, czujnik2,42.41, czujnik3,39.91
czujnik1,19.76, czujnik2,52.13, czujnik3,40.02
czujnik1,41.63, czujnik2,43.06, czujnik3,40.02
czujnik1,48.32, czujnik2,51.70, czujnik3,39.59
czujnik1,41.41, czujnik2,44.71, czujnik3,39.91
czujnik1,19.74, czujnik2,42.93, czujnik3,39.61
czujnik1,41.55, czujnik2,43.57, czujnik3,39.61
czujnik1,19.74, czujnik2,43.83, czujnik3,39.61
czujnik1,42.91, czujnik2,52.98, czujnik3,39.51
czujnik1,43.81, czujnik2,53.81, czujnik3,39.98
czujnik1,44.56, czujnik2,40.94, czujnik3,39.61
czujnik1,21.04, czujnik2,43.01, czujnik3,39.61
czujnik1,21.04, czujnik2,2291.80, czujnik3,39.57
czujnik1,41.43, czujnik2,42.14, czujnik3,39.57
czujnik1,21.02, czujnik2,0.00, czujnik3,40.02
czujnik1,19.34, czujnik2,44.46, czujnik3,39.88
czujnik1,44.93, czujnik2,43.03, czujnik3,39.57
czujnik1,42.14, czujnik2,252.59, czujnik3,39.57
czujnik1,46.36, czujnik2,0.00, czujnik3,39.98
czujnik1,41.39, czujnik2,44.30, czujnik3,39.51
czujnik1,46.67, czujnik2,0.00, czujnik3,39.63
czujnik1,41.29, czujnik2,41.28, czujnik3,40.00
czujnik1,41.22, czujnik2,42.09, czujnik3,39.93
czujnik1,20.80, czujnik2,234.85, czujnik3,39.44
czujnik1,45.19, czujnik2,42.74, czujnik3,39.44
czujnik1,41.46, czujnik2,41.33, czujnik3,39.63
czujnik1,41.79, czujnik2,0.00, czujnik3,39.61
czujnik1,42.47, czujnik2,42.02, czujnik3,39.63
czujnik1,43.44, czujnik2,45.56, czujnik3,39.52
czujnik1,41.19, czujnik2,46.84, czujnik3,39.57
czujnik1,21.00, czujnik2,41.73, czujnik3,39.61
czujnik1,42.74, czujnik2,41.97, czujnik3,39.88
czujnik1,43.23, czujnik2,54.52, czujnik3,39.57
czujnik1,42.98, czujnik2,46.38, czujnik3,39.61
czujnik1,20.92, czujnik2,49.47, czujnik3,39.63
czujnik1,19.74, czujnik2,42.53, czujnik3,39.61
czujnik1,43.79, czujnik2,53.81, czujnik3,39.91
czujnik1,42.99, czujnik2,41.77, czujnik3,39.61
czujnik1,46.67, czujnik2,0.00, czujnik3,39.61
czujnik1,41.67, czujnik2,42.52, czujnik3,40.05
czujnik1,44.98, czujnik2,52.13, czujnik3,39.35
czujnik1,19.64, czujnik2,45.46, czujnik3,40.05
czujnik1,47.81, czujnik2,44.61, czujnik3,39.47
czujnik1,20.48, czujnik2,41.77, czujnik3,39.59
czujnik1,42.16, czujnik2,42.14, czujnik3,39.98
czujnik1,45.80, czujnik2,51.72, czujnik3,40.00
czujnik1,42.07, czujnik2,52.99, czujnik3,39.51
czujnik1,40.85, czujnik2,55.92, czujnik3,39.51
czujnik1,42.21, czujnik2,41.79, czujnik3,40.00
czujnik1,45.34, czujnik2,46.90, czujnik3,39.61
czujnik1,20.61, czujnik2,55.49, czujnik3,39.90
czujnik1,41.46, czujnik2,41.79, czujnik3,39.95
czujnik1,20.51, czujnik2,42.65, czujnik3,39.61
czujnik1,43.28, czujnik2,110.70, czujnik3,39.61
czujnik1,42.98, czujnik2,45.97, czujnik3,39.51
czujnik1,40.87, czujnik2,2291.89, czujnik3,39.63
czujnik1,45.07, czujnik2,41.50, czujnik3,39.52
czujnik1,41.12, czujnik2,41.22, czujnik3,39.61
czujnik1,49.59, czujnik2,41.22, czujnik3,39.52
czujnik1,20.09, czujnik2,2293.50, czujnik3,39.61
czujnik1,41.68, czujnik2,45.61, czujnik3,39.61
czujnik1,42.11, czujnik2,41.36, czujnik3,40.05
czujnik1,44.51, czujnik2,41.63, czujnik3,39.59
czujnik1,21.04, czujnik2,42.82, czujnik3,39.47
czujnik1,41.31, czujnik2,42.67, czujnik3,39.34
czujnik1,20.61, czujnik2,42.99, czujnik3,39.51
czujnik1,19.74, czujnik2,41.75, czujnik3,39.64
czujnik1,44.52, czujnik2,41.36, czujnik3,39.61
czujnik1,42.87, czujnik2,41.67, czujnik3,39.61
czujnik1,41.68, czujnik2,40.94, czujnik3,39.51
czujnik1,19.74, czujnik2,47.65, czujnik3,39.59
czujnik1,19.32, czujnik2,43.47, czujnik3,39.61
czujnik1,44.13, czujnik2,41.67, czujnik3,39.61
czujnik1,41.43, czujnik2,55.07, czujnik3,39.51
czujnik1,44.20, czujnik2,41.38, czujnik3,39.61
czujnik1,20.94, czujnik2,40.92, czujnik3,39.63
czujnik1,20.61, czujnik2,41.67, czujnik3,39.63
czujnik1,21.02, czujnik2,111.05, czujnik3,39.51
czujnik1,21.02, czujnik2,42.21, czujnik3,40.03
czujnik1,20.61, czujnik2,41.77, czujnik3,39.61
czujnik1,19.74, czujnik2,42.59, czujnik3,40.02
czujnik1,20.61, czujnik2,41.33, czujnik3,39.90
czujnik1,41.75, czujnik2,46.50, czujnik3,39.59
czujnik1,20.92, czujnik2,43.74, czujnik3,39.61
czujnik1,21.04, czujnik2,42.38, czujnik3,39.61
